2024-06-11,15,João Silva,cliente15@email.com,11370774951,"Rua das Flores, 308",Hambúrguer de Costela,1,25.0,25.0
2024-06-08,59,Roberto Nascimento,cliente59@email.com,11761213426,"Rua das Orquídeas, 169",Hambúrguer Clássico,1,15.0,15.0
2024-06-15,8,Julia Santos,cliente8@email.com,11609531502,"Rua das Hortências, 505",Hambúrguer de Costela,5,25.0,125.0
2024-06-06,99,Mariana Costa,cliente99@email.com,11258408891,"Rua das Hortências, 956",Hambúrguer de Costela,2,25.0,50.0
2024-06-12,33,Mariana Costa,cliente33@email.com,11360572750,"Rua das Flores, 763",Hambúrguer Vegano,3,20.0,60.0
2024-06-13,10,Julia Santos,cliente10@email.com,11077554548,"Rua das Hortências, 606",Hambúrguer de Frango,4,18.0,72.0
2024-06-01,28,Maria Oliveira,cliente28@email.com,11451521272,"Rua das Palmeiras, 920",Hambúrguer Clássico,3,15.0,45.0
2024-06-12,33,Ana Souza,cliente33@email.com,11042840996,"Rua das Orquídeas, 97",Hambúrguer de Frango,4,18.0,72.0
2024-06-08,51,Maria Oliveira,cliente51@email.com,11081021823,"Rua das Acácias, 436",Hambúrguer de Costela,3,25.0,75.0
2024-06-10,10,Maria Oliveira,cliente10@email.com,11294058957,"Rua das Palmeiras, 60",Hambúrguer Clássico,2,15.0,30.0
2024-06-09,63,Maria Oliveira,cliente63@email.com,11926557031,"Rua das Orquídeas, 737",Hambúrguer Clássico,4,15.0,60.0
2024-06-07,87,Patricia Almeida,cliente87@email.com,11183986184,"Rua das Hortências, 783",Hambúrguer de Frango,1,18.0,18.0
2024-06-03,70,Lucas Fernandes,cliente70@email.com,11168510265,"Rua das Flores, 435",Hambúrguer Clássico,1,15.0,15.0
2024-06-09,2,Lucas Fernandes,cliente2@email.com,11478027718,"Rua das Acácias, 335",Hambúrguer Clássico,5,15.0,75.0
2024-06-07,92,João Silva,cliente92@email.com,11267536299,"Rua das Orquídeas, 658",Hambúrguer de Costela,3,25.0,75.0
2024-06-03,65,Ana Souza,cliente65@email.com,11702755663,"Rua das Palmeiras, 315",Hambúrguer de Costela,5,25.0,125.0
2024-06-08,8,Maria Oliveira,cliente8@email.com,11383774649,"Rua das Hortências, 524",Hambúrguer Clássico,3,15.0,45.0
2024-06-09,14,Lucas Fernandes,cliente14@email.com,11659475379,"Rua das Orquídeas, 504",Hambúrguer Vegano,5,20.0,100.0
2024-06-01,97,Carlos Pereira,cliente97@email.com,11654294583,"Rua das Hortências, 872",Hambúrguer de Costela,4,25.0,100.0
2024-06-03,76,Lucas Fernandes,cliente76@email.com,11035761420,"Rua das Acácias, 982",Hambúrguer de Frango,4,18.0,72.0
2024-06-03,32,Pedro Lima,cliente32@email.com,11646129485,"Rua das Orquídeas, 13",Hambúrguer Clássico,5,15.0,75.0
2024-06-14,91,Patricia Almeida,cliente91@email.com,11054301327,"Rua das Palmeiras, 294",Hambúrguer Vegano,2,20.0,40.0
2024-06-03,66,Maria Oliveira,cliente66@email.com,11465620868,"Rua das Hortências, 365",Hambúrguer Vegano,2,20.0,40.0
2024-06-13,18,João Silva,cliente18@email.com,11060619533,"Rua das Flores, 642",Hambúrguer Vegano,4,20.0,80.0
2024-06-01,81,Julia Santos,cliente81@email.com,11778442475,"Rua das Palmeiras, 286",Hambúrguer Vegano,2,20.0,40.0
2024-06-09,95,Mariana Costa,cliente95@email.com,11713946348,"Rua das Palmeiras, 711",Hambúrguer de Costela,3,25.0,75.0
2024-06-09,90,Pedro Lima,cliente90@email.com,11811318289,"Rua das Orquídeas, 596",Hambúrguer de Costela,5,25.0,125.0
2024-06-01,3,Ana Souza,cliente3@email.com,11940089837,"Rua das Flores, 916",Hambúrguer de Costela,3,25.0,75.0
2024-06-02,56,Maria Oliveira,cliente56@email.com,11587343867,"Rua das Orquídeas, 751",Hambúrguer Vegano,1,20.0,20.0
2024-06-13,45,João Silva,cliente45@email.com,11252154101,"Rua das Flores, 408",Hambúrguer Vegano,3,20.0,60.0
